Description,BDM ,Total,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,Sep-25,Aug-25,"Jul 2025 +Older",grouptype,groupuid
-SAMARTH PHARMA-(SIONI-ARCO)AKOLA-XX,SUSPENCE A/C,           44543.27,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           44043.27,Detai,2541934124
-SAMEER AGENCY - JALGAON-XX CLOSE,SUSPENCE A/C,            5000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            5000.00,Detai,2541934124
-SAMINDER MEDICAL - LOHA,SUSPENCE A/C,            1000.00,               0.00,             500.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SANGAM MEDICAL - SAONER-XX,SUSPENCE A/C,            4500.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            4000.00,Detai,2541934124
-SANIYA DISTRIBUTORS - PANVEL,SUSPENCE A/C,            7770.00,               0.00,            7770.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SANJARIV PHARMA - NAGPUR,SUSPENCE A/C,             777.00,               0.00,             777.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SANJAY SALES - GOA-LN,SUSPENCE A/C,          132655.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          132655.00,Detai,2541934124
-SANJEEVANI(SACHIN)-KOLHAPUR-XX,SUSPENCE A/C,            7694.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            7694.00,Detai,2541934124
-SANTACRUZ MEDICAL STORES - SANTACRUZ,SUSPENCE A/C,            2363.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            2363.00,Detai,2541934124
-SANTOSH PHARMA-MIRAJ-XX-C/B,SUSPENCE A/C,           50673.10,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           50673.10,Detai,2541934124
-SARASWATI PHARMA - SAMBHAJINAGAR,SUSPENCE A/C,            1000.00,               0.00,               0.00,               0.00,               0.00,            1000.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SARTHAK PHARMA - CHANDUR BAZAR,SUSPENCE A/C,              -1.00,               0.00,               0.00,              -1.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SARTI MEDICO-THERGAON -LN,SUSPENCE A/C,           11674.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           11674.00,Detai,2541934124
-SARVADNYA PHARMA - DINDORI -XX,SUSPENCE A/C,           25114.99,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           25114.99,Detai,2541934124
-SARVARTH AGENCIES - NASIK -XX,SUSPENCE A/C,            1022.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1022.00,Detai,2541934124
-SARWADHNYA MEDICAL AGENCY-BULDHNA-CONCEPT,SUSPENCE A/C,           12335.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,           12335.00,Detai,2541934124
-SATNAM DRUG (RAJABHAI) - ULHASNAGAR (NEW),SUSPENCE A/C,             500.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SATNAM DRUG (RAJABHAI) - ULHASNAGAR-CONCEPT,SUSPENCE A/C,          112430.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,          112430.00,Detai,2541934124
-SAWALE MEDICAL - HINGOLI,SUSPENCE A/C,             500.00,               0.00,               0.00,               0.00,             500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Detai,2541934124
-SAYAS PHARMA PVT.LTD-PUNE - XX,SUSPENCE A/C,             658.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,             658.00,Detai,2541934124
