Description,Total,Aug-26,Jul-26,Jun-26,May-26,Apr-26,Mar-26,Feb-26,Jan-26,Dec-25,Nov-25,Oct-25,"Sep 2025+Older",grouptype,groupuid
ANIL MEDICALS- BHUSAWAL,           24274.00,               0.00,               0.00,           24274.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4177336528
ANIRUDDHA AGENCY-AHILYANAGAR-XX,            4905.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1000.00,            1500.00,            2405.00,Group,2100894361
ANJALI PHARMA - KAMPTEE,           33096.00,               0.00,               0.00,           33096.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3946196379
ANKW PHARMA RETAIL - FARIDABAD,            1142.00,               0.00,               0.00,               0.00,               0.00,               0.00,            1142.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,4177078156
ANNPURNA AGENCIES - LATUR,           21833.00,           12062.00,            9771.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3278480887
ANTILA GENERIC - BARDEZ(GOA),            2625.00,            2625.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2930560752
ANVI ENTERPRISES - KALYAN,          129607.00,           56592.00,           14646.00,           58369.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2880690862
APURVA SHAH RESIDENCE,           42542.00,               0.00,               0.00,               0.00,           19577.00,           22797.00,             168.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,72477730
ARHAM DIST - DAWA BAZAR,           58498.00,            -478.00,               0.00,           13135.00,           14643.00,           11258.00,            7896.00,             716.00,            2444.00,            8884.00,               0.00,               0.00,               0.00,Group,2179491559
ARHAM PHARMA-PUNE,            5101.00,               0.00,            5101.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2240651388
ARHAM SALES - WAGHOLI,          136500.00,               0.00,          136500.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2945897211
ARIHANT (KAKA) - CHINCHWAD,          349923.00,           21924.00,          265797.00,           10689.00,           51513.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,2569432837
ARIHANT AGENCIES-NAGPUR       .,           20075.00,            3406.00,           13061.00,               0.00,            3608.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3440649269
ARIHANT CHEMIST LLP - PUNE,           30750.00,               0.00,               0.00,           30750.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,3432497521
ARIHANT DIST - ARAG,            2784.00,            2784.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,               0.00,Group,1749568380
